Subject,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Vign_Sex_1,Vign_Sex_2,Vign_NoSex_3,Vign_Sex_4,Vign_NoSex_5,Vign_NoSex_6,Vign_Sex_7,Vign_NoSex_8,Vign_NoSex_9,Vign_Sex_10,Real-1.r,Real-2.r,Real-3.r,Real-4.r,Real-5.r,Real-6.r,Real-7.r,Real-8.r,Real-9.r,Real-10.r
71,3,27,1,3,5,42,39,3.223776224,9,5,2,1,1,1,4,1,3,4,2,4,2,2,4,4,4,4,4,2,4
72,1,28,1,3,4,31,34,3.045454545,6,5,1,1,1,1,5,1,1,3,3,4,4,2,2,4,3,2,4,1,1
73,1,18,1,3,3,53,30,3.013986014,11,4,4,4,5,2,4,2,4,4,2,4,3,5,5,4,2,2,3,4,1
74,1,20,1,3,1,44,23,2.91958042,11,5,2,1,1,1,5,1,1,5,1,5,4,5,4,3,4,4,4,4,2
75,2,35,1,3,4,26,36,3.045454545,6,5,2,1,1,1,4,1,1,2,1,4,3,2,4,4,4,3,4,2,2
76,1,22,1,3,3,20,46,3.087412587,10,5,4,1,1,1,2,1,2,4,1,4,2,4,4,5,4,1,4,1,4
77,2,25,3,8,4,26,34,3.863636364,3,4,4,4,4,2,3,3,2,3,1,5,3,3,4,4,3,4,3,2,4
78,2,19,1,3,2,20,36,2.667832168,8,5,1,1,1,2,4,1,1,3,1,4,3,4,4,2,4,4,4,4,3
79,1,21,1,3,4,24,35,3.548951049,9,4,1,1,1,2,3,1,1,3,1,3,2,4,3,4,4,2,4,3,3
80,2,26,1,3,4,54,38,3.559440559,8,5,2,1,1,2,3,1,1,4,2,3,3,4,3,4,3,3,4,4,5
81,1,53,1,3,2,18,33,2.111888112,8,3,2,1,1,1,4,1,1,1,1,3,3,3,3,3,3,3,4,2,3
82,1,32,1,3,5,44,30,2.437062937,3,2,1,1,1,1,4,1,3,3,1,5,3,3,4,3,3,4,4,3,3
